Description,IncidentNum,Location,Agency,Date
LARCENY-ALL OTHER LARCENY,201704178,1500 BLOCK VIRGINIA AVE,Charlottesville Police,2-7-2017 12:18 PM
ASSAULT-SIMPLE,201704144,800 BLOCK HARDY DR,Charlottesville Police,2-7-2017 8:51 AM
LARCENY-SHOPLIFTING,201703952,1600 BLOCK UNIVERSITY AVE,Charlottesville Police,2-5-2017 9:54 AM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201703823,1300 BLOCK WERTLAND ST,Charlottesville Police,2-4-2017 12:06 PM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201703681,1300 BLOCK W MAIN ST,Charlottesville Police,2-3-2017 1:44 PM
DRIVE UNDER THE INFLUENCE,201703620,1000 BLOCK W MAIN ST,Charlottesville Police,2-3-2017 12:01 AM
LARCENY-THEFT FROM MOTOR VEHICLE,201703581,100 BLOCK 14TH ST NW,Charlottesville Police,2-2-2017 3:01 PM
DRUG/NARCOTIC VIOLATION,201703376,1300 BLOCK W MAIN ST,Charlottesville Police,1-31-2017 9:13 PM
BURGLARY/BREAKING AND ENTERING,201703181,300 BLOCK 9TH ST SW,Charlottesville Police,1-30-2017 7:01 AM
BURGLARY/BREAKING AND ENTERING,201703004,800 BLOCK HARDY DR,Charlottesville Police,1-28-2017 6:23 PM
LARCENY-THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,201702882,900 BLOCK CHERRY AVE,Charlottesville Police,1-27-2017 9:48 PM
LARCENY-THEFT FROM MOTOR VEHICLE,201702909,200 BLOCK 14TH ST NW,Charlottesville Police,1-27-2017 9:01 PM
ASSAULT-AGGRAVATED,201702876,300 BLOCK 11TH ST NW,Charlottesville Police,1-27-2017 2:50 PM
BURGLARY/BREAKING AND ENTERING,201702516,1100 BLOCK WERTLAND ST,Charlottesville Police,1-24-2017 9:15 PM
LARCENY-ALL OTHER LARCENY,201702452,1200 BLOCK WERTLAND ST,Charlottesville Police,1-24-2017 4:50 PM
LARCENY-ALL OTHER LARCENY,201702446,300 BLOCK 10TH ST NW,Charlottesville Police,1-24-2017 9:36 AM
BURGLARY/BREAKING AND ENTERING,201702280,800 BLOCK HARDY DR,Charlottesville Police,1-23-2017 12:30 AM
LARCENY-ALL OTHER LARCENY,201702289,500 BLOCK 17TH ST NW,Charlottesville Police,1-22-2017 9:40 PM
